wavelength,abs1,abs2,abs3,abs4,abs5,abs6,abs7,abs8,abs9,abs10,abs11,abs12,abs13,abs14,abs15,abs16,abs17,abs18,abs19,abs20,abs21,abs22,abs23,abs24,abs25,abs26,abs27,abs28,abs29,abs30,abs31,abs32,abs33,abs34,abs35,abs36,abs37,abs38,abs39,abs40,abs41,abs42,abs43,abs44,abs45,abs46,abs47,abs48,abs49,abs50,abs51,abs52,abs53,abs54,abs55,abs56,abs57,abs58,abs59,abs60,abs61,abs62,abs63,abs64
461.7,0.00519414,0.005370481,0.004901288,0.004010594,0.003018715,0.005745888,0.003475013,0.004190674,0.004943557,0.003645555,0.005787348,0.005768624,0.003958204,0.006115821,0.004334392,0.004901065,0.00388052,0.005244675,0.004501716,0.001715845,0.004583513,0.002414676,0.005341754,0.004325061,0.004305289,0.005682592,0.003659973,0.003791977,0.003225862,0.005639137,0.005371594,0.006839202,0.005558032,0.00470468,0.004369052,0.006827583,0.003997052,0.005274509,0.00593494,0.004091854,0.004162469,0.003858993,0.006753405,0.004404603,0.004826104,0.00480364,0.004762497,0.005508575,0.005126473,0.006858643,0.005203044,0.006013885,0.00614683,0.005044796,0.005736527,0.004994507,0.004757159,0.003494303,0.005609055,0.004796078,0.005218182,0.006727937,0.006067415,0.005763497
462.6,0.00430885,0.004975311,0.003486985,0.003849695,0.003668969,0.005449271,0.0035843,0.00434157,0.00509169,0.003795225,0.00530781,0.004522354,0.004277691,0.005864328,0.004739527,0.004643512,0.003759434,0.004902868,0.003429895,0.003191174,0.006364753,0.00296967,0.00491535,0.005702634,0.005379204,0.005189588,0.006078821,0.00330641,0.004998941,0.005061366,0.00507898,0.0052081,0.005555733,0.004028494,0.004409021,0.004986903,0.00391618,0.005209215,0.006098711,0.004937416,0.004678485,0.005519796,0.006350664,0.004284368,0.004702099,0.005397501,0.004638389,0.005702634,0.004361382,0.005254271,0.005249141,0.007512162,0.005404195,0.005684101,0.004258773,0.004336228,0.004445979,0.004181778,0.004514337,0.005015215,0.004840689,0.007198137,0.00611078,0.006552869
463.5,0.005452434,0.005531043,0.004480821,0.004358742,0.005069194,0.004296602,0.004284354,0.006258629,0.005080573,0.004665117,0.004244492,0.004150085,0.004065716,0.005688304,0.005227851,0.00559604,0.00446879,0.005874008,0.004860419,0.004558363,0.006041232,0.003850747,0.005274499,0.006009257,0.005721148,0.004843917,0.005947552,0.004763203,0.005916702,0.004568614,0.007466137,0.00622485,0.005553824,0.004185931,0.004642605,0.00361276,0.00447436,0.005559855,0.005074103,0.006906771,0.004622546,0.005517866,0.006429806,0.004424233,0.005020783,0.005306196,0.006301809,0.006062922,0.004799991,0.005725617,0.006664417,0.00618973,0.004184817,0.005141933,0.004759636,0.005631782,0.004425569,0.005360667,0.006145891,0.006071643,0.004762534,0.006314786,0.005429881,0.006077233
464.4,0.005608812,0.004993637,0.004281052,0.004055986,0.003923635,0.003949075,0.004320808,0.005274477,0.005620909,0.004278148,0.002764782,0.004244203,0.004870169,0.004909532,0.004484337,0.004218298,0.003760094,0.006493927,0.004089693,0.004104204,0.006038025,0.004846464,0.005045315,0.004622446,0.004803753,0.004162476,0.005921659,0.005042631,0.004824996,0.004892087,0.005339398,0.004583109,0.003935016,0.003606203,0.004671175,0.003763217,0.005150929,0.004405469,0.005484498,0.00661853,0.004606353,0.004126753,0.004980215,0.004094828,0.004598754,0.00677192,0.006707907,0.005701119,0.004475846,0.005045315,0.006106425,0.006191435,0.00392185,0.003898196,0.003506983,0.005054265,0.003676674,0.004541318,0.004656198,0.005848805,0.004728851,0.004610376,0.004038798,0.005778205
465.3,0.005400191,0.006666271,0.004436921,0.004005308,0.003653486,0.002607086,0.003443155,0.004944075,0.004667678,0.004797,0.001632626,0.004951251,0.004185244,0.004973003,0.004098848,0.005351483,0.004317334,0.006651638,0.004276359,0.003968614,0.005426006,0.004125705,0.004669694,0.003476676,0.004710034,0.00354842,0.003714526,0.005766462,0.002808086,0.004726843,0.004740066,0.003821869,0.004891831,0.00371542,0.004922325,0.004468278,0.004439384,0.004754411,0.005931396,0.006371452,0.004749704,0.001977692,0.00319518,0.003570101,0.004003071,0.005158949,0.005853865,0.005735235,0.003745831,0.004221732,0.0049739,0.004032831,0.004649974,0.00391425,0.004322931,0.003278046,0.004354505,0.003279386,0.004638322,0.005357767,0.004370629,0.003840209,0.003670478,0.005920384
466.2,0.004343934,0.005138213,0.003765556,0.003395942,0.003523073,0.002392975,0.003724722,0.003667515,0.004594295,0.005092973,0.001527347,0.004667362,0.003701838,0.003633643,0.004490897,0.003393027,0.004090125,0.006349741,0.003156354,0.003866088,0.005778606,0.004549336,0.004447971,0.003655177,0.003352676,0.003659888,0.003799663,0.005056964,0.002603497,0.005450295,0.003647326,0.001896491,0.004135935,0.004415836,0.004570915,0.005893359,0.003274674,0.003989317,0.004875616,0.00564946,0.004415836,0.001971788,0.003220216,0.003192877,0.003936564,0.004695693,0.005104001,0.004467973,0.002477753,0.002564338,0.002657655,0.003652261,0.004315851,0.004139303,0.003624446,0.00338406,0.004253175,0.002664145,0.003819185,0.003538323,0.004282827,0.003495043,0.003952951,0.004657694
467.1,0.004134387,0.005722225,0.003246183,0.00367524,0.004922402,0.002773858,0.004233738,0.004639695,0.004740287,0.006209512,0.002219919,0.005268383,0.001843491,0.003109835,0.005213179,0.004067641,0.005252835,0.006362198,0.003157149,0.003934854,0.005222416,0.003589484,0.005494681,0.004775848,0.00515663,0.004294663,0.004173945,0.005789677,0.002787526,0.004862739,0.004255094,0.003971698,0.004240931,0.003824342,0.004978019,0.006876891,0.003342863,0.004903939,0.004801283,0.005039275,0.004669622,0.003225773,0.004492337,0.004554873,0.003839165,0.004612244,0.005223543,0.004123599,0.002652666,0.004072135,0.002720763,0.003931934,0.004452525,0.004586145,0.003841186,0.004000231,0.004515731,0.003153112,0.003456844,0.003795371,0.004919024,0.004399223,0.003559182,0.004655221
468,0.003868753,0.004037986,0.004279347,0.003921856,0.005587321,0.00321607,0.004779155,0.005357876,0.005653061,0.004578307,0.003284822,0.005703897,0.002677889,0.001628147,0.005011905,0.002714465,0.005141866,0.005263062,0.003065573,0.002963399,0.004994083,0.003561513,0.005289247,0.005553213,0.003963939,0.00571158,0.004741729,0.005205281,0.003220788,0.005721748,0.005631147,0.004367639,0.003853904,0.004165854,0.005927874,0.006270277,0.002299968,0.004634652,0.003775389,0.004459103,0.004003774,0.005548922,0.006838076,0.004379803,0.004000623,0.005041458,0.005433065,0.004659672,0.003508004,0.003415166,0.003436969,0.004080079,0.003890129,0.004239936,0.003453827,0.006143371,0.004367639,0.003052547,0.003091625,0.00370476,0.00550262,0.004904536,0.002552029,0.003364147
468.9,0.003854794,0.004407789,0.004898225,0.004580237,0.004766982,0.002643239,0.003584867,0.004776919,0.005465672,0.003942928,0.003296874,0.005263251,0.002859734,0.002445274,0.004078884,0.003319384,0.004267444,0.005382657,0.002286023,0.001631888,0.005950285,0.00302032,0.0052325,0.005406406,0.00450055,0.004620198,0.004566691,0.004326329,0.003277742,0.005136418,0.004711424,0.005185699,0.00356955,0.00290471,0.006329796,0.005178465,0.004643229,0.004734911,0.004279852,0.00390934,0.004251652,0.005918126,0.007092539,0.004150148,0.005658457,0.005662757,0.005521327,0.005116978,0.003651094,0.002752485,0.005702365,0.003494103,0.002476502,0.003663034,0.002777665,0.004347088,0.003484419,0.003739637,0.002487286,0.004655873,0.005107032,0.00401665,0.00145859,0.004255262
469.8,0.003754238,0.00442572,0.005555935,0.005703768,0.004292561,0.001690496,0.002487758,0.004035854,0.004783575,0.004081941,0.002442964,0.004454437,0.003212748,0.003211846,0.00317081,0.004003324,0.003503715,0.004591943,0.002304337,0.000876753,0.005386169,0.003270023,0.004193114,0.005009478,0.00355629,0.003427683,0.003717214,0.005004723,0.004924807,0.004979139,0.004920053,0.004413058,0.003400839,0.002568353,0.006119877,0.002807974,0.002580736,0.003632569,0.003267994,0.004174809,0.004115606,0.005557975,0.005526011,0.004041049,0.00586481,0.00399474,0.005555028,0.004452854,0.004015296,0.001327995,0.004427529,0.002424058,0.003031274,0.00356667,0.00328829,0.004541278,0.004702568,0.004379822,0.002956452,0.004208482,0.003855391,0.004621576,0.002523101,0.003798489
